,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
200,TTR25042050548108000,764.6255483,-5.37188,,0,CLOSURE,1,FRC4,0.6,0,0,-1
201,TTR24329344560238001,982.7963414,-7.18997,,0,ROADWORKS,0.6,FRC6,0.4,0,0,-1
202,TTR27286940132394000,177.1611508,-0.47634,,0,ROADWORKS,0.6,FRC2,0.8,93,1,-1
203,TTR28790215884011001,304.1315394,-1.53443,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
204,TTL23584969196008000,1084.479351,-8.03733,,0,JAM_UNCONDITIONAL,0.9,FRC0,1,81,1,-1
205,TTR28761359392000001,298.0229287,-1.48352,,0,ACCIDENT,1,FRC0,1,0,0,-1
207,TTR27157112000080001,314.9514439,-1.6246,,0,TRAFFIC_RESTRICTION,0.6,FRC0,1,0,0,-1
208,TTR28865226600014001,341.9462262,-1.84955,,0,CLOSURE,1,FRC6,0.4,0,0,-1
209,TTR22667407968139001,1320.167007,-10.00139,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
210,TTR20708174700141000,1885.409045,-14.71174,,0,CLOSURE,1,FRC5,0.5,0,0,-1
211,TTR23856174900013000,1019.888586,-7.49907,,0,CLOSURE,1,FRC5,0.5,0,0,-1
212,TTL28192930628015000,161.8427998,-0.34869,,0,JAM_UNCONDITIONAL,0.9,FRC7,0.3,92,1,-1
213,TTR28637297028021001,265.1865758,-1.20989,,0,CLOSURE,1,FRC5,0.5,0,0,-1
214,TTR24427448664016000,960.428778,-7.00357,,0,ROADWORKS,0.6,FRC0,1,0,0,-1
215,TTR28637297028021000,265.1298049,-1.20942,,0,CLOSURE,1,FRC5,0.5,0,0,-1
216,TTR28845036904011001,320.2948447,-1.66912,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
217,TTR24389969568010000,885.8747774,-6.38229,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
218,TTR28816183764013000,311.6452354,-1.59704,,0,CLOSURE,1,FRC5,0.5,0,0,-1
219,TTR25027621720028000,774.2610637,-5.45218,,0,CLOSURE,1,FRC4,0.6,0,0,-1
220,TTR28845030924076000,331.2307358,-1.76026,,0,CLOSURE,1,FRC4,0.6,0,0,-1
221,TTR22173993272011000,1450.475649,-11.0873,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
222,TTR25688402932011001,539.6798649,-3.49733,,0,ROADWORKS,0.6,FRC3,0.7,3,0,-1
223,TTL28879660320010000,331.9296075,-1.76608,,0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,88,1,-1
224,TTR28386246888013000,233.6046447,-0.94671,,0,CLOSURE,1,FRC5,0.5,0,0,-1
225,TTR24410134444014000,969.5005518,-7.07917,,0,CLOSURE,1,FRC6,0.4,0,0,-1
226,TTL28674806212011000,273.333157,-1.27778,,0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,59,1,-1
228,TTR23270463108020000,1165.799488,-8.715,,0,CLOSURE,1,FRC4,0.6,0,0,-1
229,TTR25930786032002001,467.4019562,-2.89502,,0,HAZARD,1,FRC2,0.8,0,0,-1
230,TTR28871003300003001,329.7660958,-1.74805,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
232,TTL23227164180426000,1180.403526,-8.8367,,0,NONLOS_DELAY,0.8,FRC2,0.8,112,1,-1
